"estacao","estacao.nome","cidade","estado","regiao","situacao","latitude","longitude","altitude"
"A514","SAO JOAO DEL REI","SAO JOAO DEL REI","MG","Sudeste","Operante",-21.10638888,-44.25083333,929.88
"A331","SAO JOAO DO PIAUI","SAO JOAO DO PIAUI","PI","Nordeste","Operante",-8.36444444,-42.2525,231
"A815","SAO JOAQUIM","SAO JOAQUIM","SC","Sul","Operante",-28.27555554,-49.93472221,1400.06
"A942","SAO JOSE DO XINGU","SAO JOSE DO XINGU","MT","Centro-oeste","Pane",-10.48416666,-52.37249999,300
"A829","SAO JOSE DOS AUSENTES","SAO JOSE DOS AUSENTES","RS","Sul","Operante",-28.7486111,-50.05777777,1228.59
"A203","SAO LUIS","SAO LUIS","MA","Nordeste","Operante",-2.52666666,-44.21361111,54.8
"A356","SAO LUIS DO QUITUNDE","SAO LUIS DO QUITUNDE","AL","Nordeste","Pane",-9.28749999,-35.56583333,13.69
"A740","SAO LUIZ DO PARAITINGA","SAO LUIZ DO PARAITINGA","SP","Sudeste","Operante",-23.22833332,-45.41694443,874
"A852","SAO LUIZ GONZAGA","SAO LUIZ GONZAGA","RS","Sul","Operante",-28.41722221,-54.9625,245.5
"A616","SAO MATEUS","SAO MATEUS","ES","Sudeste","Operante",-18.6761111,-39.86416666,28.66
"A874","SAO MATEUS DO SUL","SAO MATEUS DO SUL","PR","Sul","Operante",-25.83555555,-50.36888888,780.21
"A715","SAO MIGUEL ARCANJO","SAO MIGUEL ARCANJO","SP","Sudeste","Operante",-23.89083333,-47.99916666,710
"A031","SAO MIGUEL DO ARAGUAIA","SAO MIGUEL DO ARAGUAIA","GO","Centro-oeste","Operante",-12.82055554,-50.33583333,210
"A857","SAO MIGUEL DO OESTE","SAO MIGUEL DO OESTE","SC","Sul","Operante",-26.78638888,-53.51416666,647
"A771","SAO PAULO - INTERLAGOS"," INTERLAGOS","SP","Sudeste","Operante",-23.72444443,-46.67749999,771
